DATE,REGIST,ENABLE,DISABLE
2019/10/01,7,7,0
2019/10/02,7,7,0
2019/10/03,7,7,0
2019/10/04,7,7,0
2019/10/05,7,7,0
2019/10/06,7,7,0
2019/10/07,7,7,0
2019/10/08,7,7,0
2019/10/09,7,7,0
2019/10/10,7,7,0
2019/10/11,7,7,0
2019/10/12,7,7,0
2019/10/13,7,7,0
2019/10/14,7,7,0
2019/10/15,7,7,0
2019/10/16,7,7,0
2019/10/17,7,7,0
2019/10/18,7,7,0
2019/10/19,7,7,0
2019/10/20,7,7,0
2019/10/21,7,7,0
2019/10/22,7,7,0
2019/10/23,7,7,0
2019/10/24,7,7,0
2019/10/25,7,7,0
2019/10/26,7,7,0
2019/10/27,7,7,0
2019/10/28,7,7,0
2019/10/29,7,7,0
2019/10/30,7,7,0
2019/10/31,7,7,0
2019/11/01,7,7,0
2019/11/02,7,7,0
2019/11/03,7,7,0
2019/11/04,7,7,0
2019/11/05,0,0,0
2019/11/06,7,7,0
2019/11/07,7,7,0
2019/11/08,0,0,0
2019/11/09,7,7,0
2019/11/10,7,7,0
2019/11/11,7,7,0
2019/11/12,7,7,0
2019/11/13,7,7,0
2019/11/14,7,7,0
2019/11/15,7,7,0
2019/11/16,7,7,0
2019/11/17,7,7,0
2019/11/18,7,7,0
2019/11/19,7,7,0
2019/11/20,7,7,0
2019/11/21,7,7,0
2019/11/22,7,7,0
2019/11/23,7,7,0
2019/11/24,7,7,0
2019/11/25,7,7,0
2019/11/26,7,7,0
2019/11/27,7,7,0
2019/11/28,7,7,0
2019/11/29,7,7,0
2019/11/30,7,7,0
2019/12/01,7,7,0
2019/12/02,7,7,0
